id_comisión;seccion;carrera_id
1;1K1;1
2;1K2;1
3;1K3;1
4;1K4;1
5;1K5;1
6;1K6;1
7;1K7;1
8;1K8;1
9;1K9;1
10;1K10;1
11;1K11;1
12;1K12;1
13;1K13;1
14;1K14;1
15;1K15;1
16;1K16;1
17;1K17;1
18;2K1;1
19;2K2;1
20;2K3;1
21;2K4;1
22;2K5;1
23;2K6;1
24;2K7;1
25;2K8;1
26;2K9;1
27;2K10;1
28;2K11;1
29;3K1;1
30;3K2;1
31;3K3;1
32;3K4;1
33;3K5;1
34;3K6;1
35;3K7;1
36;3K8;1
37;3K1A;1
38;3K5A;1
39;4K1;1
40;4K2;1
41;4K3;1
42;4K4;1
43;5K1;1
44;5K2;1
45;5K3;1
46;5K4;1
47;5K5;1
